;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7410 are extrapolated until 7438 (12:04:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Mon Mar 14 10:54:17 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00024056 ;ratio_vir2PMO6V (f10.8)
0.99976416 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    2260     4.3210    -0.0132
    2263     4.3500     0.0278
    2266     4.3791     0.0172
    2269     4.3304    -0.0781
    2272     4.2966    -0.1336
    2275     4.3513    -0.1374
    2278     4.3642    -0.1748
    2281     4.3725    -0.2043
    2284     4.3809    -0.2338
    2287     4.4158    -0.1904
    2290     4.4098    -0.2328
    2293     4.4044    -0.2125
    2296     4.4516    -0.2076
    2299     4.4257    -0.2300
    2302     4.4555    -0.6423
    2305     4.3640    -0.7098
    2308     4.3391    -0.0010
    2311     4.3869     0.1269
    2314     4.4347     0.2549
    2317     4.4042     0.2306
    2320     4.4035     0.2514
    2323     4.3663     0.2141
    2326     4.4040     0.2343
    2329     4.4137     0.2230
    2332     4.3632     0.2465
    2335     4.3127     0.1954
    2338     4.3905     0.1923
    2341     4.4191     0.2137
    2344     4.4477     0.2351
    2347     4.4252     0.2418
    2350     4.5364     0.2283
    2353     4.5147     0.2345
    2356     4.4929     0.2463
    2359     4.4954     0.2081
    2362     4.4779     0.2790
    2365     4.4604     0.2309
    2368     4.4916     0.2403
    2371     4.4758     0.2295
    2374     4.4600     0.2186
    2377     4.5072     0.2196
    2380     4.4653     0.2205
    2383     4.4880     0.2446
    2386     4.4899     0.2343
    2389     4.4825     0.2186
    2392     4.5075     0.1886
    2395     4.4053     0.2011
    2398     4.4426     0.2090
    2401     4.4599     0.2169
    2404     4.4772     0.2248
    2407     4.4996     0.2332
    2410     4.4628     0.1914
    2413     4.4277     0.1858
    2416     4.5076     0.2183
    2419     4.4489     0.1568
    2422     4.4426     0.2190
    2425     4.4363     0.1642
    2428     4.4978     0.1785
    2431     4.5179     0.1506
    2434     4.5381     0.1711
    2437     4.5332     0.1687
    2440     4.5809     0.1658
    2443     4.5404     0.1719
    2446     4.4776     0.1433
    2449     4.4602     0.1146
    2452     4.5085     0.1535
    2455     4.5671     0.1720
    2458     4.5148     0.1490
    2461     4.4514     0.1364
    2464     4.5646     0.1239
    2467     4.5072     0.1113
    2470     4.5637     0.1734
    2473     4.5222     0.1037
    2476     4.4714     0.1555
    2479     4.4601     0.1256
    2482     4.4731     0.1414
    2485     4.4861     0.1571
    2488     4.5132     0.1611
    2491     4.4755     0.1059
    2494     4.4378     0.0507
    2497     4.5531     0.0708
    2500     4.4001     0.0910
    2503     4.4058     0.0936
    2506     4.4165     0.0747
    2509     4.4045     0.0739
    2512     4.3990     0.0921
    2515     4.4138     0.0759
    2518     4.5258     0.0987
    2521     4.4632     0.0845
    2524     4.4006     0.0704
    2527     4.4285     0.0511
    2530     4.4860     0.0921
    2533     4.4924     0.1130
    2536     4.4762     0.1210
    2539     4.4925     0.1108
    2542     4.4587     0.1696
    2545     4.4248     0.0557
    2548     4.4593     0.0933
    2551     4.3813     0.1394
    2554     4.5238     0.1405
    2557     4.4715     0.1264
    2560     4.5299     0.1069
    2563     4.5041     0.1412
    2566     4.5068     0.1185
    2569     4.5417     0.1367
    2572     4.5095     0.1549
    2575     4.6360     0.2266
    2578     4.5104     0.1695
    2581     4.4870     0.1564
    2584     4.4636     0.1359
    2587     4.5089     0.1409
    2590     4.4428     0.1431
    2593     4.5108     0.0980
    2596     4.5370     0.1958
    2599     4.5032     0.1151
