;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7581 are extrapolated until 7609 (30:09:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Tue Aug 09 18:22:49 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00029612 ;ratio_vir2PMO6V (f10.8)
0.99970693 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    2407     4.3613     0.2082
    2410     4.3061     0.1557
    2413     4.2795     0.1458
    2416     4.3571     0.1790
    2419     4.3529     0.1188
    2422     4.3421     0.1582
    2425     4.3314     0.1451
    2428     4.3560     0.1343
    2431     4.3849     0.1415
    2434     4.4139     0.1487
    2437     4.3164     0.0415
    2440     4.4198     0.1027
    2443     4.4060     0.1598
    2446     4.3404     0.1314
    2449     4.3376     0.1031
    2452     4.4112     0.1185
    2455     4.3652     0.0779
    2458     4.4063     0.1706
    2461     4.3963     0.1582
    2464     4.3862     0.1458
    2467     4.4063     0.1334
    2470     4.4116     0.0803
    2473     4.3475     0.0810
    2476     4.3468     0.1148
    2479     4.3782     0.1425
    2482     4.4228     0.1553
    2485     4.4673     0.1682
    2488     4.4349     0.1164
    2491     4.4059     0.0970
    2494     4.3769     0.0710
    2497     4.4627     0.0911
    2500     4.3502     0.1113
    2503     4.3396     0.0421
    2506     4.3289     0.0949
    2509     4.3212     0.0546
    2512     4.3681     0.0538
    2515     4.4150     0.0813
    2518     4.4388     0.0600
    2521     4.4135     0.0858
    2524     4.3882     0.0746
    2527     4.3604     0.0606
    2530     4.3979     0.0307
    2533     4.4062     0.0973
    2536     4.3443     0.0803
    2539     4.4086     0.0938
    2542     4.4174     0.1147
    2545     4.4261     0.0799
    2548     4.4463     0.0812
    2551     4.3183     0.1037
    2554     4.4208     0.0616
    2557     4.4201     0.0989
    2560     4.4719     0.0839
    2563     4.4807     0.1380
    2566     4.4750     0.0982
    2569     4.4063     0.0862
    2572     4.4722     0.1077
    2575     4.4607     0.1098
    2578     4.4475     0.0983
    2581     4.4256     0.0954
    2584     4.4037     0.0924
    2587     4.4511     0.1028
    2590     4.3704     0.0823
    2593     4.4450     0.0925
    2596     4.5160     0.1011
