;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19970202 1360.62196 1365.70166 1366.07373 1365.32947
19970203 1360.49244 1365.57166 1365.95874 1365.18616
19970204 1360.57405 1365.65356 1366.03625 1365.27734
19970205 1360.70187 1365.78186 1366.16187 1365.40259
19970206 1360.75136 1365.83154 1366.20337 1365.45959
19970207 1360.74018 1365.82031 1366.20984 1365.43250
19970208 1360.70941 1365.78943 1366.17700 1365.40320
19970209 1360.72838 1365.80847 1366.17224 1365.44128
19970210 1360.70357 1365.78357 1366.15149 1365.41504
19970211 1360.68618 1365.76611 1366.12671 1365.40393
19970212 1360.66842 1365.74829 1366.12085 1365.37537
19970213 1360.63741 1365.71716 1366.10339 1365.33191
19970214 1360.62160 1365.70129 1366.08594 1365.31165
19970215 1360.61783 1365.69751 1366.06628 1365.32788
19970216 1360.64398 1365.72375 1366.07727 1365.36792
19970217 1360.61175 1365.69141 1366.07446 1365.30896
19970218 1360.62610 1365.70581 1366.08826 1365.32361
19970219 1360.61844 1365.69812 1366.07776 1365.31836
19970220 1360.59764 1365.67725 1366.06177 1365.29333
19970221 1360.58670 1365.66626 1366.05786 1365.27563
19970222 1360.57259 1365.65210 1366.06372 1365.24329
19970223 1360.59594 1365.67554 1366.07642 1365.27649
19970224 1360.65784 1365.73767 1366.10852 1365.36304
19970225 1360.68934 1365.76929 1366.14819 1365.39014
19970226 1360.71439 1365.79443 1366.16992 1365.42017
19970227 1360.71585 1365.79590 1366.17151 1365.41968
19970228 1360.67754 1365.75745 1366.15698 1365.35889
19970301 1360.75732 1365.83752 1366.16565 1365.52368
19970302 1360.71451 1365.79456 1366.16479 1365.44617
19970303 1360.73105 1365.81116 1366.19263 1365.42944
19970304 1360.71950 1365.79956 1366.19421 1365.40527
19970305 1360.73641 1365.81653 1366.22339 1365.41040
19970306 1360.70637 1365.78638 1366.17444 1365.39929
19970307 1360.72984 1365.80994 1366.19604 1365.42371
19970308 1360.74455 1365.82471 1366.24316 1365.40674
19970309 1360.74893 1365.82910 1366.23181 1365.42651
19970310 1360.72254 1365.80261 1366.18250 1365.42261
19970311 1360.71318 1365.79321 1366.17444 1365.41174
19970312 1360.68192 1365.76184 1366.17065 1365.35291
19970313 1360.72291 1365.80298 1366.18152 1365.42456
19970314 1360.68508 1365.76501 1366.14856 1365.38147
19970315 1360.71342 1365.79346 1366.17041 1365.41663
19970316 1360.72947 1365.80957 1366.18884 1365.43079
19970317 1360.70831 1365.78833 1366.17651 1365.40015
19970318 1360.67171 1365.75159 1366.13379 1365.36963
19970319 1360.56018 1365.63965 1366.02686 1365.25256
19970320 1360.53027 1365.60962 1366.00720 1365.21179
19970321 1360.54620 1365.62561 1366.01648 1365.23547
19970322 1360.54121 1365.62061 1366.02026 1365.22070
19970323 1360.56894 1365.64844 1366.05212 1365.24451
19970324 1360.57125 1365.65076 1366.05298 1365.24829
19970325 1360.60068 1365.68030 1366.06934 1365.29126
19970326 1360.58876 1365.66833 1366.06470 1365.27246
19970327 1360.63632 1365.71606 1366.10181 1365.33020
19970328 1360.70661 1365.78662 1366.14905 1365.42456
19970329 1360.67280 1365.75269 1366.12561 1365.38025
19970330 1360.62379 1365.70349 1366.09448 1365.31238
19970331 1360.61102 1365.69067 1366.07312 1365.31262
19970401 1360.62756 1365.70728 1366.08826 1365.32715
19970402 1360.59703 1365.67664 1366.06812 1365.28516
19970403 1360.69396 1365.77393 1366.15759 1365.38843
19970404 1360.77265 1365.85291 1366.26086 1365.44458
19970405 1360.82944 1365.90991 1366.31189 1365.50574
19970406 1360.83370 1365.91418 1366.32568 1365.50244
19970407 1360.83212 1365.91260 1366.31628 1365.50867
19970408 1360.75903 1365.83923 1366.25952 1365.41833
19970409 1360.72704 1365.80713 1366.19421 1365.41992
19970410 1360.65286 1365.73267 1366.12415 1365.34290
19970411 1360.68703 1365.76697 1366.17078 1365.36304
19970412 1360.73507 1365.81519 1366.22913 1365.39136
19970413 1360.72412 1365.80420 1366.18982 1365.41846
19970414 1360.63972 1365.71948 1366.10767 1365.33118
19970415 1360.58256 1365.66211 1366.03906 1365.28589
19970416 1360.55641 1365.63586 1366.03394 1365.23767
19970417 1360.55216 1365.63159 1366.02856 1365.23462
19970418 1360.60409 1365.68372 1366.06799 1365.29932
19970419 1360.57648 1365.65601 1366.06262 1365.24927
19970420 1360.58961 1365.66919 1366.06372 1365.27417
19970421 1360.58816 1365.66772 1366.06018 1365.27527
19970422 1360.54875 1365.62817 1366.03040 1365.22583
19970423 1360.56359 1365.64307 1366.02783 1365.25842
19970424 1360.58390 1365.66345 1366.03955 1365.28735
19970425 1360.60980 1365.68945 1366.08008 1365.29468
19970426 1360.60482 1365.68445 1366.07813 1365.29065
