;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7514 are extrapolated until 7540 (23:07:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Wed Jun 08 15:29:16 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00030888 ;ratio_vir2PMO6V (f10.8)
0.99969307 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    2146     4.2831    -0.1598
    2149     4.2177    -0.1124
    2152     4.1883    -0.0619
    2155     4.1588    -0.1565
    2158     4.1704    -0.1461
    2161     4.1691    -0.1113
    2164     4.1679    -0.1269
    2167     4.0858    -0.1382
    2170     4.2010    -0.1496
    2173     4.2287    -0.1304
    2176     4.1854    -0.1598
    2179     4.1865    -0.1410
    2182     4.1990    -0.1202
    2185     4.2115    -0.1339
    2188     4.2035    -0.1337
    2191     4.2445    -0.1149
    2194     4.2856    -0.0958
    2197     4.2843    -0.0951
    2200     4.1947    -0.1534
    2203     4.3104    -0.0878
    2206     4.2077    -0.1134
    2209     4.2347    -0.1322
    2212     4.2927    -0.1170
    2215     4.2838    -0.0885
    2218     4.2926    -0.0959
    2221     4.3002    -0.0994
    2224     4.3077    -0.1030
    2227     4.2089    -0.1096
    2230     4.2637    -0.1249
    2233     4.2642    -0.0684
    2236     4.2617    -0.0752
    2239     4.2217    -0.1096
    2242     4.2932    -0.1251
    2245     4.2388    -0.1246
    2248     4.2692    -0.1044
    2251     4.2379    -0.1161
    2254     4.2066    -0.1277
    2257     4.2302    -0.0826
    2260     4.2539    -0.0376
    2263     4.2776     0.0075
    2266     4.3013    -0.0076
    2269     4.2339    -0.1379
    2272     4.3747    -0.0845
    2275     4.3621    -0.1042
    2278     4.3286    -0.1930
    2281     4.3223    -0.2076
    2284     4.3161    -0.2222
    2287     4.2934    -0.2413
    2290     4.3539    -0.2669
    2293     4.3571    -0.2437
    2296     4.3603    -0.2539
    2299     4.3552    -0.2848
    2302     4.3413    -0.7000
    2305     4.3307    -0.7367
    2308     4.2698    -0.0329
    2311     4.3170    -0.0429
    2314     4.3643     0.2481
    2317     4.3728     0.2367
    2320     4.3574     0.2639
    2323     4.3835     0.1744
    2326     4.4095     0.2096
    2329     4.3566     0.2302
    2332     4.3259     0.1942
    2335     4.2953     0.2144
    2338     4.3577     0.1996
    2341     4.3563     0.2140
    2344     4.3548     0.2395
    2347     4.3748     0.2289
    2350     4.3864     0.1833
    2353     4.3849     0.2223
    2356     4.3835     0.2099
    2359     4.3637     0.1943
    2362     4.3460     0.2379
    2365     4.3283     0.1963
    2368     4.3504     0.2278
    2371     4.3472     0.2327
    2374     4.3440     0.2375
    2377     4.3584     0.2207
    2380     4.3120     0.2039
    2383     4.3167     0.2314
    2386     4.3215     0.1997
    2389     4.3881     0.2134
    2392     4.4413     0.1879
    2395     4.3579     0.2312
    2398     4.3749     0.2061
    2401     4.3666     0.2307
    2404     4.3582     0.1898
    2407     4.3722     0.2212
    2410     4.3171     0.1685
    2413     4.2906     0.1586
    2416     4.3682     0.1919
    2419     4.3640     0.1317
    2422     4.3533     0.1711
    2425     4.3426     0.1580
    2428     4.3672     0.1472
    2431     4.3962     0.1545
    2434     4.4251     0.1617
    2437     4.3276     0.0545
    2440     4.4311     0.1158
    2443     4.4172     0.1730
    2446     4.3518     0.1446
    2449     4.3490     0.1163
    2452     4.4226     0.1316
    2455     4.3760     0.0911
    2458     4.4177     0.1838
    2461     4.4077     0.1714
    2464     4.3977     0.1591
    2467     4.4179     0.1467
    2470     4.4231     0.0936
    2473     4.3591     0.0943
    2476     4.3583     0.1281
    2479     4.3897     0.1558
    2482     4.4344     0.1687
    2485     4.4790     0.1817
    2488     4.4465     0.1299
    2491     4.4175     0.1104
    2494     4.3885     0.0844
    2497     4.4744     0.1046
    2500     4.3621     0.1249
    2503     4.3514     0.0557
    2506     4.3407     0.1084
    2509     4.3331     0.0681
    2512     4.3800     0.0675
    2515     4.4270     0.0950
    2518     4.4506     0.0737
    2521     4.4254     0.0993
    2524     4.4002     0.0882
    2527     4.3723     0.0743
    2530     4.4100     0.0443
    2533     4.4183     0.1110
    2536     4.3563     0.0941
    2539     4.4207     0.1076
    2542     4.4295     0.1285
    2545     4.4383     0.0937
    2548     4.4585     0.0950
    2551     4.3305     0.1175
    2554     4.4330     0.0754
    2557     4.4323     0.1128
    2560     4.4841     0.0978
    2563     4.4929     0.1519
    2566     4.4872     0.1122
    2569     4.4187     0.1001
    2572     4.4846     0.1218
    2575     4.4729     0.1238
    2578     4.4599     0.1123
    2581     4.4379     0.1094
    2584     4.4160     0.1065
    2587     4.4635     0.1170
    2590     4.3827     0.0965
    2593     4.4574     0.1066
    2596     4.5284     0.1152
