;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7994 are extrapolated until 8020 (15:11:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sat Sep 30 09:30:10 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00036420 ;ratio_vir2PMO6V (f10.8)
0.99963534 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    2362     4.3938     0.3049
    2365     4.3762     0.2623
    2368     4.3982     0.2942
    2371     4.3951     0.2987
    2374     4.3919     0.3031
    2377     4.4062     0.2829
    2380     4.3598     0.2626
    2383     4.3646     0.2896
    2386     4.3693     0.2591
    2389     4.4359     0.2748
    2392     4.4893     0.2528
    2395     4.4058     0.3000
    2398     4.4228     0.2794
    2401     4.4146     0.3087
    2404     4.4063     0.2722
    2407     4.4203     0.3079
    2410     4.3652     0.2588
    2413     4.3388     0.2516
    2416     4.4164     0.2863
    2419     4.4123     0.2260
    2422     4.4016     0.2636
    2425     4.3910     0.2467
    2428     4.4157     0.2299
    2431     4.4447     0.2339
    2434     4.4738     0.2379
    2437     4.3765     0.1366
    2440     4.4800     0.2012
    2443     4.4661     0.2596
    2446     4.4008     0.2304
    2449     4.3980     0.2011
    2452     4.4717     0.2139
    2455     4.4260     0.1701
    2458     4.4671     0.2593
    2461     4.4572     0.2421
    2464     4.4472     0.2249
    2467     4.4676     0.2077
    2470     4.4729     0.1499
    2473     4.4090     0.1470
    2476     4.4083     0.1786
    2479     4.4399     0.2056
    2482     4.4845     0.2208
    2485     4.5292     0.2361
    2488     4.4969     0.1899
    2491     4.4680     0.1787
    2494     4.4392     0.1509
    2497     4.5252     0.1673
    2500     4.4128     0.1837
    2503     4.4022     0.1136
    2506     4.3916     0.1671
    2509     4.3841     0.1285
    2512     4.4312     0.1303
    2515     4.4782     0.1607
    2518     4.5019     0.1423
    2521     4.4768     0.1704
    2524     4.4517     0.1626
    2527     4.4239     0.1519
    2530     4.4617     0.1244
    2533     4.4700     0.1925
    2536     4.4081     0.1764
    2539     4.4725     0.1896
    2542     4.4813     0.2096
    2545     4.4902     0.1731
    2548     4.5103     0.1716
    2551     4.3825     0.1907
    2554     4.4852     0.1485
    2557     4.4845     0.1870
    2560     4.5363     0.1724
    2563     4.5451     0.2266
    2566     4.5396     0.1866
    2569     4.4710     0.1739
    2572     4.5369     0.1950
    2575     4.5254     0.1965
    2578     4.5123     0.1847
    2581     4.4905     0.1810
    2584     4.4687     0.1774
    2587     4.5161     0.1863
    2590     4.4353     0.1647
    2593     4.5100     0.1745
    2596     4.5812     0.1840
    2599     4.5493     0.1934
    2602     4.5036     0.1690
    2605     4.5281     0.1446
