 52  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
19960213 002920 1365.39872 1365.85740  -99.00000 1365.86596  -99.00000
19960213 012920 1365.42210 1365.88079  -99.00000 1365.88941  -99.00000
19960213 022920 1365.42930 1365.88799  -99.00000 1365.89666  -99.00000
19960213 032920 1365.40596 1365.86465  -99.00000 1365.87336  -99.00000
19960213 042920 1365.38271 1365.84139  -99.00000 1365.85015  -99.00000
19960213 052920 1365.39787 1365.85657  -99.00000 1365.86538  -99.00000
19960213 062920 1365.44180 1365.90052  -99.00000 1365.90937  -99.00000
19960213 072920 1365.40643 1365.86513  -99.00000 1365.87404  -99.00000
19960213 082920 1365.41032 1365.86903  -99.00000 1365.87799  -99.00000
19960213 092920 1365.41360 1365.87232  -99.00000 1365.88132  -99.00000
19960213 102920 1365.42061 1365.87933  -99.00000 1365.88838  -99.00000
19960213 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960213 122920 1365.38543 1365.84414  -99.00000 1365.85329  -99.00000
19960213 132920 1365.39295 1365.85165  -99.00000 1365.86086  -99.00000
19960213 142920 1365.39975 1365.85846  -99.00000 1365.86772  -99.00000
19960213 152920 1365.43208 1365.89080  -99.00000 1365.90010  -99.00000
19960213 162920 1365.40753 1365.86623  -99.00000 1365.87559  -99.00000
19960213 172920 1365.38145 1365.84015  -99.00000 1365.84955  -99.00000
19960213 182920 1365.42568 1365.88439  -99.00000 1365.89385  -99.00000
19960213 192920 1365.43327 1365.89198  -99.00000 1365.90148  -99.00000
19960213 202920 1365.39164 1365.85033  -99.00000 1365.85989  -99.00000
19960213 212920 1365.43716 1365.89586  -99.00000 1365.90547  -99.00000
19960213 222920 1365.42582 1365.88451  -99.00000 1365.89417  -99.00000
19960213 232920 1365.38783 1365.84651  -99.00000 1365.85621  -99.00000
19960214 002920 1365.38554 1365.84421  -99.00000 1365.85396  -99.00000
19960214 012920 1365.34412 1365.80277  -99.00000 1365.81255  -99.00000
19960214 022920 1365.37253 1365.83118  -99.00000 1365.84100  -99.00000
19960214 032920 1365.39990 1365.85855  -99.00000 1365.86840  -99.00000
19960214 042920 1365.44984 1365.90851  -99.00000 1365.91839  -99.00000
19960214 052920 1365.40344 1365.86208  -99.00000 1365.87199  -99.00000
19960214 062920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960214 072920 1365.39763 1365.85626  -99.00000 1365.86623  -99.00000
19960214 082920 1365.38965 1365.84827  -99.00000 1365.85827  -99.00000
19960214 092920 1365.40263 1365.86125  -99.00000 1365.87127  -99.00000
19960214 102920 1365.39757 1365.85617  -99.00000 1365.86623  -99.00000
19960214 112920 1365.38074 1365.83933  -99.00000 1365.84941  -99.00000
19960214 122920 1365.34903 1365.80760  -99.00000 1365.81771  -99.00000
19960214 132920 1365.37241 1365.83098  -99.00000 1365.84112  -99.00000
19960214 142920 1365.35437 1365.81293  -99.00000 1365.82310  -99.00000
19960214 152920 1365.35106 1365.80961  -99.00000 1365.81980  -99.00000
19960214 162920 1365.36634 1365.82489  -99.00000 1365.83511  -99.00000
19960214 172920 1365.38177 1365.84031  -99.00000 1365.85056  -99.00000
19960214 182920 1365.35436 1365.81289  -99.00000 1365.82316  -99.00000
19960214 192920 1365.34202 1365.80054  -99.00000 1365.81083  -99.00000
19960214 202920 1365.38329 1365.84181  -99.00000 1365.85213  -99.00000
19960214 212920 1365.38677 1365.84528  -99.00000 1365.85563  -99.00000
19960214 222920 1365.36469 1365.82319  -99.00000 1365.83355  -99.00000
19960214 232920 1365.37098 1365.82947  -99.00000 1365.83986  -99.00000
19960215 002920 1365.40940 1365.86789  -99.00000 1365.87831  -99.00000
19960215 012920 1365.42764 1365.88613  -99.00000 1365.89657  -99.00000
19960215 022920 1365.40766 1365.86614  -99.00000 1365.87660  -99.00000
19960215 032920 1365.43049 1365.88896  -99.00000 1365.89945  -99.00000
19960215 042920 1365.42702 1365.88548  -99.00000 1365.89599  -99.00000
19960215 052920 1365.35969 1365.81813  -99.00000 1365.82865  -99.00000
19960215 062920 1365.41112 1365.86957  -99.00000 1365.88011  -99.00000
19960215 072920 1365.42084 1365.87928  -99.00000 1365.88984  -99.00000
19960215 082920 1365.40325 1365.86167  -99.00000 1365.87226  -99.00000
19960215 092920 1365.45093 1365.90936  -99.00000 1365.91997  -99.00000
19960215 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960215 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960215 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960215 132920 1365.40554 1365.86390  -99.00000 1365.87458  -99.00000
19960215 142920 1365.42925 1365.88761  -99.00000 1365.89830  -99.00000
19960215 152920 1365.35768 1365.81600  -99.00000 1365.82671  -99.00000
19960215 162920 1365.37995 1365.83826  -99.00000 1365.84899  -99.00000
19960215 172920 1365.37524 1365.83353  -99.00000 1365.84428  -99.00000
19960215 182920 1365.36775 1365.82603  -99.00000 1365.83679  -99.00000
19960215 192920 1365.36123 1365.81949  -99.00000 1365.83026  -99.00000
19960215 202920 1365.37044 1365.82869  -99.00000 1365.83948  -99.00000
19960215 212920 1365.33616 1365.79438  -99.00000 1365.80518  -99.00000
19960215 222920 1365.36723 1365.82544  -99.00000 1365.83625  -99.00000
19960215 232920 1365.33509 1365.79328  -99.00000 1365.80411  -99.00000
19960216 002920 1365.39360 1365.85179  -99.00000 1365.86263  -99.00000
19960216 012920 1365.35749 1365.81565  -99.00000 1365.82650  -99.00000
19960216 022920 1365.41974 1365.87789  -99.00000 1365.88876  -99.00000
19960216 032920 1365.44482 1365.90296  -99.00000 1365.91384  -99.00000
19960216 042920 1365.41519 1365.87330  -99.00000 1365.88419  -99.00000
19960216 052920 1365.37271 1365.83079  -99.00000 1365.84169  -99.00000
19960216 062920 1365.42735 1365.88542  -99.00000 1365.89633  -99.00000
19960216 072920 1365.41855 1365.87660  -99.00000 1365.88752  -99.00000
19960216 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960216 092920 1365.43099 1365.88900  -99.00000 1365.89994  -99.00000
19960216 102920 1365.44354 1365.90153  -99.00000 1365.91248  -99.00000
19960216 112920 1365.46238 1365.92036  -99.00000 1365.93132  -99.00000
19960216 122920 1365.44289 1365.90084  -99.00000 1365.91181  -99.00000
19960216 132920 1365.45678 1365.91472  -99.00000 1365.92570  -99.00000
19960216 142920 1365.44191 1365.89983  -99.00000 1365.91081  -99.00000
19960216 152920 1365.45285 1365.91077  -99.00000 1365.92176  -99.00000
19960216 162920 1365.43835 1365.89626  -99.00000 1365.90725  -99.00000
19960216 172920 1365.40394 1365.86182  -99.00000 1365.87282  -99.00000
19960216 182920 1365.41529 1365.87317  -99.00000 1365.88418  -99.00000
19960216 192920 1365.37937 1365.83723  -99.00000 1365.84824  -99.00000
19960216 202920 1365.39241 1365.85027  -99.00000 1365.86128  -99.00000
19960216 212920 1365.41896 1365.87682  -99.00000 1365.88784  -99.00000
19960216 222920 1365.41354 1365.87139  -99.00000 1365.88242  -99.00000
19960216 232920 1365.41629 1365.87414  -99.00000 1365.88517  -99.00000
19960217 002920 1365.35004 1365.80786  -99.00000 1365.81890  -99.00000
19960217 012920 1365.38891 1365.84674  -99.00000 1365.85781  -99.00000
19960217 022920 1365.41223 1365.87006  -99.00000 1365.88116  -99.00000
19960217 032920 1365.40817 1365.86599  -99.00000 1365.87711  -99.00000
19960217 042920 1365.44196 1365.89979  -99.00000 1365.91094  -99.00000
19960217 052920 1365.42896 1365.88679  -99.00000 1365.89796  -99.00000
19960217 062920 1365.39963 1365.85745  -99.00000 1365.86865  -99.00000
19960217 072920 1365.42343 1365.88125  -99.00000 1365.89249  -99.00000
19960217 082920 1365.42694 1365.88477  -99.00000 1365.89603  -99.00000
19960217 092920 1365.39324 1365.85105  -99.00000 1365.86234  -99.00000
19960217 102920 1365.36312 1365.82092  -99.00000 1365.83224  -99.00000
19960217 112920 1365.44605 1365.90389  -99.00000 1365.91523  -99.00000
19960217 122920 1365.41169 1365.86951  -99.00000 1365.88088  -99.00000
19960217 132920 1365.42316 1365.88097  -99.00000 1365.89237  -99.00000
19960217 142920 1365.43766 1365.89546  -99.00000 1365.90689  -99.00000
19960217 152920 1365.42500 1365.88280  -99.00000 1365.89425  -99.00000
19960217 162920 1365.44118 1365.89897  -99.00000 1365.91046  -99.00000
19960217 172920 1365.43561 1365.89338  -99.00000 1365.90490  -99.00000
19960217 182920 1365.43268 1365.89045  -99.00000 1365.90199  -99.00000
19960217 192920 1365.41603 1365.87378  -99.00000 1365.88536  -99.00000
19960217 202920 1365.37454 1365.83227  -99.00000 1365.84388  -99.00000
19960217 212920 1365.39052 1365.84824  -99.00000 1365.85988  -99.00000
19960217 222920 1365.41901 1365.87673  -99.00000 1365.88840  -99.00000
19960217 232920 1365.43421 1365.89193  -99.00000 1365.90363  -99.00000
19960218 002920 1365.40775 1365.86544  -99.00000 1365.87717  -99.00000
19960218 012920 1365.46396 1365.92166  -99.00000 1365.93343  -99.00000
19960218 022920 1365.42010 1365.87778  -99.00000 1365.88957  -99.00000
19960218 032920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960218 042920 1365.46217 1365.91983  -99.00000 1365.93169  -99.00000
19960218 052920 1365.44178 1365.89942  -99.00000 1365.91132  -99.00000
19960218 062920 1365.44445 1365.90208  -99.00000 1365.91400  -99.00000
19960218 072920 1365.47977 1365.93740  -99.00000 1365.94936  -99.00000
19960218 082920 1365.45335 1365.91095  -99.00000 1365.92294  -99.00000
19960218 092920 1365.46791 1365.92551  -99.00000 1365.93753  -99.00000
19960218 102920 1365.47170 1365.92928  -99.00000 1365.94134  -99.00000
19960218 112920 1365.45416 1365.91172  -99.00000 1365.92382  -99.00000
19960218 122920 1365.44116 1365.89870  -99.00000 1365.91083  -99.00000
19960218 132920 1365.42365 1365.88118  -99.00000 1365.89334  -99.00000
19960218 142920 1365.45873 1365.91625  -99.00000 1365.92845  -99.00000
19960218 152920 1365.45457 1365.91208  -99.00000 1365.92431  -99.00000
19960218 162920 1365.47634 1365.93384  -99.00000 1365.94611  -99.00000
19960218 172920 1365.47353 1365.93102  -99.00000 1365.94332  -99.00000
19960218 182920 1365.46425 1365.92172  -99.00000 1365.93406  -99.00000
19960218 192920 1365.43955 1365.89700  -99.00000 1365.90938  -99.00000
19960218 202920 1365.44460 1365.90204  -99.00000 1365.91445  -99.00000
19960218 212920 1365.46510 1365.92254  -99.00000 1365.93499  -99.00000
19960218 222920 1365.46091 1365.91833  -99.00000 1365.93081  -99.00000
19960218 232920 1365.48845 1365.94587  -99.00000 1365.95839  -99.00000
19960219 002920 1365.45528 1365.91268  -99.00000 1365.92523  -99.00000
19960219 012920 1365.46698 1365.92438  -99.00000 1365.93697  -99.00000
19960219 022920 1365.47760 1365.93499  -99.00000 1365.94762  -99.00000
19960219 032920 1365.48669 1365.94407  -99.00000 1365.95673  -99.00000
19960219 042920 1365.47061 1365.92797  -99.00000 1365.94067  -99.00000
19960219 052920 1365.45373 1365.91107  -99.00000 1365.92381  -99.00000
19960219 062920 1365.45741 1365.91474  -99.00000 1365.92752  -99.00000
19960219 072920 1365.43162 1365.88893  -99.00000 1365.90175  -99.00000
19960219 082920 1365.44129 1365.89859  -99.00000 1365.91145  -99.00000
19960219 092920 1365.42991 1365.88720  -99.00000 1365.90010  -99.00000
19960219 102920 1365.43703 1365.89431  -99.00000 1365.90724  -99.00000
19960219 112920 1365.46445 1365.92172  -99.00000 1365.93470  -99.00000
19960219 122920 1365.44191 1365.89917  -99.00000 1365.91218  -99.00000
19960219 132920 1365.42793 1365.88517  -99.00000 1365.89822  -99.00000
19960219 142920 1365.44440 1365.90163  -99.00000 1365.91473  -99.00000
19960219 152920 1365.45342 1365.91064  -99.00000 1365.92377  -99.00000
19960219 162920 1365.45165 1365.90886  -99.00000 1365.92203  -99.00000
19960219 172920 1365.45051 1365.90770  -99.00000 1365.92092  -99.00000
19960219 182920 1365.47066 1365.92784  -99.00000 1365.94110  -99.00000
19960219 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960219 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960219 212920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960219 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960219 232920 1365.53026 1365.98740  -99.00000 1366.00086  -99.00000
19960220 002920 1365.48491 1365.94202  -99.00000 1365.95552  -99.00000
19960220 012920 1365.50654 1365.96364  -99.00000 1365.97718  -99.00000
19960220 022920 1365.55025 1366.00736  -99.00000 1366.02093  -99.00000
19960220 032920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960220 042920 1365.45368 1365.91073  -99.00000 1365.92437  -99.00000
19960220 052920 1365.51882 1365.97588  -99.00000 1365.98956  -99.00000
19960220 062920 1365.50796 1365.96500  -99.00000 1365.97872  -99.00000
19960220 072920 1365.52761 1365.98464  -99.00000 1365.99840  -99.00000
19960220 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960220 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960220 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960220 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960220 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960220 132920 1365.53987 1365.99681  -99.00000 1366.01080  -99.00000
19960220 142920 1365.56004 1366.01698  -99.00000 1366.03100  -99.00000
19960220 152920 1365.54155 1365.99848  -99.00000 1366.01253  -99.00000
19960220 162920 1365.54303 1365.99994  -99.00000 1366.01403  -99.00000
19960220 172920 1365.55565 1366.01255  -99.00000 1366.02669  -99.00000
19960220 182920 1365.54383 1366.00071  -99.00000 1366.01488  -99.00000
19960220 192920 1365.52222 1365.97908  -99.00000 1365.99329  -99.00000
19960220 202920 1365.56014 1366.01700  -99.00000 1366.03124  -99.00000
19960220 212920 1365.55468 1366.01152  -99.00000 1366.02580  -99.00000
19960220 222920 1365.57024 1366.02707  -99.00000 1366.04139  -99.00000
19960220 232920 1365.52722 1365.98403  -99.00000 1365.99839  -99.00000
19960221 002920 1365.58476 1366.04157  -99.00000 1366.05597  -99.00000
19960221 012920 1365.56237 1366.01917  -99.00000 1366.03360  -99.00000
19960221 022920 1365.56619 1366.02297  -99.00000 1366.03744  -99.00000
19960221 032920 1365.56201 1366.01878  -99.00000 1366.03329  -99.00000
19960221 042920 1365.51135 1365.96808  -99.00000 1365.98263  -99.00000
19960221 052920 1365.58566 1366.04240  -99.00000 1366.05699  -99.00000
19960221 062920 1365.58331 1366.04004  -99.00000 1366.05467  -99.00000
19960221 072920 1365.57005 1366.02676  -99.00000 1366.04143  -99.00000
19960221 082920 1365.56588 1366.02258  -99.00000 1366.03729  -99.00000
19960221 092920 1365.60182 1366.05852  -99.00000 1366.07326  -99.00000
19960221 102920 1365.58854 1366.04522  -99.00000 1366.06001  -99.00000
19960221 112920 1365.59362 1366.05028  -99.00000 1366.06511  -99.00000
19960221 122920 1365.58168 1366.03833  -99.00000 1366.05320  -99.00000
19960221 132920 1365.58059 1366.03723  -99.00000 1366.05214  -99.00000
19960221 142920 1365.52385 1365.98046  -99.00000 1365.99540  -99.00000
19960221 152920 1365.60409 1366.06071  -99.00000 1366.07569  -99.00000
19960221 162920 1365.58941 1366.04602  -99.00000 1366.06104  -99.00000
19960221 172920 1365.56435 1366.02094  -99.00000 1366.03600  -99.00000
19960221 182920 1365.55447 1366.01105  -99.00000 1366.02615  -99.00000
19960221 192920 1365.57998 1366.03655  -99.00000 1366.05169  -99.00000
19960221 202920 1365.56009 1366.01665  -99.00000 1366.03183  -99.00000
19960221 212920 1365.54626 1366.00281  -99.00000 1366.01802  -99.00000
19960221 222920 1365.55377 1366.01031  -99.00000 1366.02556  -99.00000
19960221 232920 1365.54908 1366.00561  -99.00000 1366.02090  -99.00000
19960222 002920 1365.56806 1366.02458  -99.00000 1366.03992  -99.00000
19960222 012920 1365.56437 1366.02088  -99.00000 1366.03626  -99.00000
19960222 022920 1365.56179 1366.01829  -99.00000 1366.03371  -99.00000
19960222 032920 1365.57675 1366.03325  -99.00000 1366.04870  -99.00000
19960222 042920 1365.58926 1366.04575  -99.00000 1366.06125  -99.00000
19960222 052920 1365.60716 1366.06365  -99.00000 1366.07919  -99.00000
19960222 062920 1365.57389 1366.03035  -99.00000 1366.04593  -99.00000
19960222 072920 1365.54289 1365.99934 1365.26292 1366.01495 1365.32812
19960222 082920 1365.54695 1366.00339 1365.23025 1366.01905 1365.29664
19960222 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960222 102920 1365.59629 1366.05274  -99.00000 1366.06847  -99.00000
19960222 112920 1365.56399 1366.02040 1365.19067 1366.03618 1365.26060
19960222 122920 1365.59060 1366.04700 1365.23834 1366.06282 1365.30945
19960222 132920 1365.56953 1366.02592 1365.23707 1366.04178 1365.30934
19960222 142920 1365.55014 1366.00651 1365.22074 1366.02241 1365.29417
19960222 152920 1365.52807 1365.98441 1365.20153 1366.00035 1365.27612
19960222 162920 1365.56142 1366.01776 1365.21006 1366.03375 1365.28580
19960222 172920 1365.53920 1365.99552 1365.21275 1366.01155 1365.28965
19960222 182920 1365.56841 1366.02473 1365.22306 1366.04080 1365.30110
19960222 192920 1365.52483 1365.98112 1365.18439 1365.99723 1365.26357
19960222 202920 1365.54289 1365.99918 1365.18325 1366.01532 1365.26356
19960222 212920 1365.53997 1365.99624 1365.12766 1366.01243 1365.20910
19960222 222920 1365.53736 1365.99361 1365.15517 1366.00984 1365.23773
19960222 232920 1365.53475 1365.99099 1365.13241 1366.00726 1365.21610
19960223 002920 1365.56817 1366.02441 1365.18530 1366.04072 1365.26988
19960223 012920 1365.55527 1366.01149 1365.14203 1366.02785 1365.22726
19960223 022920 1365.55587 1366.01208 1365.12939 1366.02847 1365.21526
19960223 032920 1365.54294 1365.99913 1365.07656 1366.01556 1365.16306
19960223 042920 1365.57710 1366.03329 1365.16754 1366.04976 1365.25464
19960223 052920 1365.54843 1366.00459 1365.16095 1366.02111 1365.24863
19960223 062920 1365.56753 1366.02368 1365.17662 1366.04024 1365.26488
19960223 072920 1365.53897 1365.99510 1365.15798 1366.01170 1365.24679
19960223 082920 1365.57193 1366.02806 1365.18315 1366.04469 1365.27250
19960223 092920 1365.53623 1365.99233 1365.13303 1366.00901 1365.22290
19960223 102920 1365.57847 1366.03457 1365.20198 1366.05130 1365.29235
19960223 112920 1365.53375 1365.98982 1365.19087 1366.00658 1365.28172
19960223 122920 1365.55606 1366.01213 1365.22684 1366.02893 1365.31817
