19960128 132920 1365.57277  -99.00000 1365.04579  -99.00000 1365.26010
19960128 142920 1365.57723  -99.00000 1365.05026  -99.00000 1365.26468
19960128 152920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960128 162920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960128 172920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960128 182920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960128 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960128 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960128 212920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960128 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960128 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960129 002920 1365.56632  -99.00000 1365.03940  -99.00000 1365.25495
19960129 012920 1365.54204  -99.00000 1365.01513  -99.00000 1365.23080
19960129 022920 1365.55126  -99.00000 1365.02435  -99.00000 1365.24014
19960129 032920 1365.54999  -99.00000 1365.02308  -99.00000 1365.23898
19960129 042920 1365.53987  -99.00000 1365.01296  -99.00000 1365.22899
19960129 052920 1365.52132  -99.00000 1364.99443  -99.00000 1365.21057
19960129 062920 1365.53586  -99.00000 1365.00896  -99.00000 1365.22523
19960129 072920 1365.55571  -99.00000 1365.02881  -99.00000 1365.24520
19960129 082920 1365.53441  -99.00000 1365.00751  -99.00000 1365.22403
19960129 092920 1365.51049  -99.00000 1364.98360  -99.00000 1365.20024
19960129 102920 1365.52812  -99.00000 1365.00123  -99.00000 1365.21799
19960129 112920 1365.54592  -99.00000 1365.01903  -99.00000 1365.23592
19960129 122920 1365.54197  -99.00000 1365.01507  -99.00000 1365.23209
19960129 132920 1365.51649  -99.00000 1364.98962  -99.00000 1365.20676
19960129 142920 1365.52462  -99.00000 1364.99774  -99.00000 1365.21502
19960129 152920 1365.57028  -99.00000 1365.04339  -99.00000 1365.26080
19960129 162920 1365.58944  -99.00000 1365.06254  -99.00000 1365.28008
19960129 172920 1365.55466  -99.00000 1365.02779  -99.00000 1365.24546
19960129 182920 1365.53626  -99.00000 1365.00940  -99.00000 1365.22720
19960129 192920 1365.53368  -99.00000 1365.00682  -99.00000 1365.22476
19960129 202920 1365.56235  -99.00000 1365.03549  -99.00000 1365.25356
19960129 212920 1365.58563  -99.00000 1365.05876  -99.00000 1365.27697
19960129 222920 1365.55692  -99.00000 1365.03006  -99.00000 1365.24841
19960129 232920 1365.55702  -99.00000 1365.03017  -99.00000 1365.24866
19960130 002920 1365.56171 1366.08671 1365.03671 1366.11607 1365.25532
19960130 012920 1365.52772 1366.03292 1365.02253 1366.06231 1365.24125
19960130 022920 1365.53535 1366.06998 1365.00071 1366.09942 1365.21953
19960130 032920 1365.54002 1366.06864 1365.01140 1366.09811 1365.23032
19960130 042920 1365.55766 1366.06985 1365.04547 1366.09936 1365.26450
19960130 052920 1365.55598 1366.07135 1365.04060 1366.10090 1365.25974
19960130 062920 1365.56573 1366.08361 1365.04785 1366.11319 1365.26710
19960130 072920 1365.53681 1366.03967 1365.03396 1366.06929 1365.25331
19960130 082920 1365.53396 1366.05323 1365.01469 1366.08289 1365.23415
19960130 092920 1365.52074 1366.03059 1365.01088 1366.06029 1365.23045
19960130 102920 1365.54134 1366.05937 1365.02332 1366.08910 1365.24299
19960130 112920 1365.53251 1366.06566 1364.99936 1366.09543 1365.21914
19960130 122920 1365.52900 1366.04831 1365.00969 1366.07812 1365.22958
19960130 132920 1365.52754 1366.04152 1365.01357 1366.07137 1365.23356
19960130 142920 1365.53268 1366.05213 1365.01323 1366.08202 1365.23334
19960130 152920 1365.52647 1366.04688 1365.00606 1366.07680 1365.22627
19960130 162920 1365.53295 1366.06184 1365.00406 1366.09180 1365.22437
19960130 172920 1365.53294 1366.05615 1365.00973 1366.08615 1365.23016
19960130 182920 1365.53272 1366.04669 1365.01874 1366.07673 1365.23927
19960130 192920 1365.52367 1366.04655 1365.00078 1366.07663 1365.22143
19960130 202920 1365.51632 1366.03408 1364.99856 1366.06420 1365.21931
19960130 212920 1365.55957 1366.07417 1365.04497 1366.10433 1365.26583
19960130 222920 1365.56148 1366.07863 1365.04432 1366.10883 1365.26529
19960130 232920 1365.54485 1366.07608 1365.01363 1366.10631 1365.23471
19960131 002920 1365.51378 1366.03749 1364.99007 1366.06776 1365.21126
19960131 012920 1365.52028 1366.04386 1364.99671 1366.07417 1365.21800
19960131 022920 1365.53006 1366.05581 1365.00431 1366.08616 1365.22572
19960131 032920 1365.50789 1366.02962 1364.98616 1366.06000 1365.20768
19960131 042920 1365.52997 1366.04843 1365.01152 1366.07885 1365.23315
19960131 052920 1365.51845 1366.04537 1364.99153 1366.07584 1365.21327
19960131 062920 1365.54075 1366.06114 1365.02037 1366.09164 1365.24222
19960131 072920 1365.54713 1366.06218 1365.03208 1366.09272 1365.25404
19960131 082920 1365.55052  -99.00000 1365.02366  -99.00000 1365.24573
19960131 092920 1365.56219 1366.08859 1365.03580 1366.11921 1365.25799
19960131 102920 1365.54390 1366.05165 1365.03616 1366.08232 1365.25845
19960131 112920 1365.52077 1366.02442 1365.01713 1366.05512 1365.23954
19960131 122920 1365.56410 1366.10582 1365.02238 1366.13656 1365.24491
19960131 132920 1365.51833 1366.03822 1364.99845 1366.06900 1365.22108
19960131 142920 1365.52578 1366.03557 1365.01600 1366.06639 1365.23875
19960131 152920 1365.55889 1366.08784 1365.02994 1366.11870 1365.25280
19960131 162920 1365.52541 1366.03513 1365.01570 1366.06603 1365.23868
19960131 172920 1365.55057 1366.07234 1365.02881 1366.10328 1365.25191
19960131 182920 1365.52425 1366.02523 1365.02328 1366.05621 1365.24649
19960131 192920 1365.56962 1366.11585 1365.02340 1366.14687 1365.24672
19960131 202920 1365.52562 1366.03261 1365.01863 1366.06368 1365.24207
19960131 212920 1365.53529 1366.06676 1365.00382 1366.09786 1365.22738
19960131 222920 1365.55529 1366.06923 1365.04136 1366.10037 1365.26503
19960131 232920 1365.56047 1366.08161 1365.03934 1366.11279 1365.26313
19960201 002920 1365.54352 1366.06727 1365.01977 1366.09850 1365.24368
